date;value
2023-02-28;23042.0
2023-03-01;23044.0
2023-03-02;23202.0
2023-03-03;22000.0
2023-03-04;22168.5
2023-03-05;22212.1
2023-03-06;22277.1
2023-03-07;21904.3
2023-03-08;21600.0
2023-03-09;
2023-03-10;19549.9
2023-03-11;19888.0
2023-03-12;20440.3
2023-03-13;21867.8
2023-03-14;24051.0
2023-03-15;23913.3
2023-03-16;24210.8
2023-03-17;24947.7
2023-03-18;26606.0
2023-03-19;26890.1
2023-03-20;27222.0
2023-03-21;27341.0
2023-03-22;26623.8
2023-03-23;27172.6
2023-03-24;27007.7
2023-03-25;27163.9
2023-03-26;27438.1
2023-03-27;26491.9
2023-03-28;
2023-03-29;27258.4
2023-03-30;27700.0
2023-03-31;27520.0
2023-04-01;28220.0
2023-04-02;27850.1
2023-04-03;27212.7
2023-04-04;27668.8
2023-04-05;27813.1
2023-04-06;27700.0
2023-04-07;27783.1
2023-04-08;27886.0
2023-04-09;27812.2
2023-04-10;28170.0
2023-04-11;29615.0
2023-04-12;29645.8
2023-04-13;29873.9
2023-04-14;30000.0
2023-04-15;30250.0
2023-04-16;30145.0
2023-04-17;29267.0
2023-04-18;29123.0
2023-04-19;28577.0
2023-04-20;28009.0
2023-04-21;27146.2
2023-04-22;27137.5
2023-04-23;27344.0
2023-04-24;26969.4
2023-04-25;
2023-04-26;27258.4
2023-04-27;28392.9
2023-04-28;28904.6
2023-04-29;29015.0
2023-04-30;29103.0
2023-05-01;27643.2
2023-05-02;27877.9
2023-05-03;28135.0
2023-05-04;28699.6
2023-05-05;28829.8
2023-05-06;28338.0
2023-05-07;28438.4
2023-05-08;27282.1
2023-05-09;27367.8
2023-05-10;26792.9
2023-05-11;26720.0
2023-05-12;25827.4
2023-05-13;26700.6
2023-05-14;26600.0
2023-05-15;26727.8
2023-05-16;26850.1
2023-05-17;26550.0
2023-05-18;26345.0
2023-05-19;26635.3
2023-05-20;26834.2
2023-05-21;26667.4
2023-05-22;26512.4
2023-05-23;26807.3
2023-05-24;26069.1
2023-05-25;25865.0
2023-05-26;26338.0
2023-05-27;26554.8
2023-05-28;26788.7
2023-05-29;27550.0
2023-05-30;27559.8
